Date,Weight
2020-03-03,71.2
2020-03-07,71.9
2020-03-09,70.7
2020-03-10,71.4
2020-03-11,72.0
2020-03-17,71.5
2020-03-18,71.0
2020-03-20,71.6
2020-03-21,71.5
2020-03-22,71.4
2020-03-23,71.6
2020-03-24,71.9
2020-03-25,71.3
2020-03-26,72.0
2020-03-27,71.4
2020-03-28,71.8
2020-03-29,72.1
2020-03-30,71.8
2020-03-31,72.1
2020-04-01,72.4
2020-04-02,72.5
2020-04-03,71.8
2020-04-04,71.6
2020-04-05,72.2
2020-04-06,72.6
2020-04-07,71.6
2020-04-08,71.9
2020-04-09,72.5
2020-04-10,72.8
2020-04-11,72.7
2020-04-12,73.0
2020-04-13,72.7
2020-04-14,72.2
2020-04-15,72.4
2020-04-16,72.4
2020-04-17,73.4
2020-04-18,73.0
2020-04-19,72.9
2020-04-20,73.0
2020-05-06,71.8
2020-05-07,73.5
2020-05-08,73.8
2020-05-09,73.0
2020-05-10,73.0
2020-05-12,73.5
2020-05-13,73.7
2020-05-14,73.7
2020-05-15,73.0
2020-05-16,72.6
2020-05-17,74.0
2020-05-18,73.8
2020-05-19,73.1
2020-05-20,74.0
